Elapsed_Time_s,Recording_Time_s,Voltage_V,Current_A
1.7200,0.0324,-3.8165,-0.038138
1.7350,0.0637,-3.6569,-0.035949
1.7510,0.0637,-3.4926,-0.034778
1.7660,0.0637,-3.2858,-0.032044
1.7820,0.0937,-3.0816,-0.030321
1.7980,0.0937,-2.8767,-0.028012
1.8140,0.1238,-2.7349,-0.027102
1.8290,0.1547,-2.5571,-0.025400
1.8440,0.1547,-2.2834,-0.022741
1.8600,0.1847,-2.1228,-0.020834
1.8750,0.1847,-1.8844,-0.018730
1.8910,0.2161,-1.6571,-0.016150
1.9060,0.2161,-1.3660,-0.013033
1.9220,0.2472,-1.1166,-0.010657
1.9380,0.2472,-0.9026,-0.008151
1.9530,0.2781,-0.6939,-0.006888
1.9690,0.2781,-0.4646,-0.003898
1.9840,0.3065,-0.2167,-0.001207
2.0000,0.3065,0.0192,0.001011
2.0150,0.3367,0.3256,0.003661
2.0310,0.3367,0.5007,0.005190
2.0470,0.3650,0.7783,0.008258
2.0630,0.3650,1.0618,0.010666
2.0780,0.3944,1.2572,0.013324
2.0930,0.3944,1.4935,0.015478
2.1090,0.4237,1.7078,0.017687
2.1240,0.4237,1.9610,0.020542
2.1400,0.4535,2.1690,0.021755
2.1560,0.4535,2.3636,0.024115
2.1720,0.4779,2.6097,0.026849
2.1870,0.4779,2.7792,0.028695
2.2020,0.4779,3.0187,0.030764
2.2170,0.5377,3.2255,0.033135
2.2330,0.5377,3.4090,0.034551
2.2490,0.5679,3.6053,0.036558
2.2650,0.5679,3.7320,0.037455
2.2800,0.5995,3.9117,0.039320
2.2960,0.5995,4.0875,0.040901
2.3120,0.6311,4.2293,0.042619
2.3280,0.6311,4.3105,0.043302
2.3430,0.6627,4.4601,0.045170
2.3580,0.6627,4.5248,0.046124
2.3740,0.6941,4.7000,0.047296
2.3890,0.6941,4.7438,0.047820
2.4040,0.7254,4.8159,0.048516
2.4200,0.7254,4.8914,0.049149
2.4350,0.7561,4.9266,0.049593
2.4510,0.7561,5.0150,0.050879
2.4670,0.7870,5.0254,0.050856
2.4820,0.7870,5.0471,0.050735
2.4980,0.8177,5.0257,0.050351
2.5130,0.8177,5.0073,0.050438
2.5290,0.8501,5.0478,0.051066
2.5440,0.8501,5.0209,0.050411
2.5600,0.8819,4.9308,0.049935
2.5750,0.8819,4.9347,0.049586
2.5910,0.9172,4.8303,0.048702
2.6060,0.9172,4.7316,0.048312
2.6210,0.9452,4.7045,0.047659
2.6370,0.9452,4.6363,0.047087
2.6520,0.9668,4.5067,0.045973
2.6680,0.9668,4.3422,0.043653
2.6830,0.9668,4.2007,0.042700
2.6990,0.9668,4.0922,0.041076
2.7140,1.0213,3.9866,0.040339
2.7300,1.0483,3.7735,0.037779
2.7450,1.0483,3.6227,0.036250
2.7610,1.0766,3.4873,0.035379
2.7760,1.0766,3.2421,0.032657
2.7920,1.1040,3.1296,0.031483
2.8080,1.1040,2.8649,0.029356
2.8240,1.1272,2.6509,0.027280
2.8400,1.1272,2.4347,0.025306
2.8550,1.1272,2.2119,0.022164
2.8710,1.1768,2.0070,0.020908
2.8860,1.1768,1.7962,0.018828
2.9010,1.1768,1.5743,0.016169
2.9170,1.2326,1.3163,0.014041
2.9320,1.2326,1.1148,0.011282
2.9480,1.2618,0.8665,0.009229
2.9630,1.2618,0.6685,0.007012
2.9790,1.2877,0.4217,0.004901
2.9950,1.2877,0.0803,0.001591
3.0110,1.3097,-0.0986,-0.000358
3.0270,1.3107,-0.3762,-0.003292
3.0430,1.3362,-0.6203,-0.005677
3.0580,1.3666,-0.8713,-0.008620
3.0730,1.3933,-1.1199,-0.011111
3.0890,1.3933,-1.3338,-0.012374
3.1040,1.4200,-1.6014,-0.015310
3.1190,1.4200,-1.7740,-0.016837
3.1350,1.4457,-2.0124,-0.019991
3.1500,1.4457,-2.2007,-0.021540
3.1660,1.4683,-2.4299,-0.023866
3.1810,1.4693,-2.6526,-0.026043
3.1960,1.4693,-2.8690,-0.028124
