Elapsed_Time_s,Recording_Time_s,Voltage_V,Current_A
1.2030,0.0030,-2.9726,-0.029102
1.2180,0.0180,-3.1031,-0.030521
1.2330,0.0330,-3.2735,-0.032687
1.2480,0.0485,-3.5088,-0.034554
1.2640,0.0685,-3.6612,-0.036058
1.2800,0.0800,-3.7961,-0.037415
1.2960,0.0960,-3.9938,-0.038977
1.3120,0.1120,-4.1180,-0.040471
1.3280,0.1280,-4.2748,-0.042158
1.3430,0.1432,-4.3947,-0.043608
1.3590,0.1592,-4.4222,-0.043928
1.3750,0.1752,-4.5772,-0.045270
1.3900,0.1902,-4.6699,-0.046555
1.4050,0.2052,-4.7372,-0.046821
1.4210,0.2222,-4.7676,-0.047223
1.4370,0.2372,-4.8061,-0.047263
1.4530,0.2533,-4.9125,-0.048340
1.4680,0.2683,-4.9089,-0.048273
1.4840,0.2843,-4.9084,-0.048469
1.4990,0.2993,-4.9240,-0.048483
1.5150,0.3153,-4.9375,-0.048845
1.5300,0.3308,-4.8833,-0.048739
1.5460,0.3463,-4.8794,-0.048155
1.5620,0.3623,-4.8890,-0.048242
1.5770,0.3773,-4.7765,-0.047014
1.5930,0.3933,-4.7719,-0.047512
1.6080,0.4083,-4.7094,-0.046897
1.6240,0.4243,-4.5884,-0.045873
1.6400,0.4403,-4.4513,-0.043829
1.6550,0.4558,-4.4139,-0.043864
1.6710,0.4718,-4.2834,-0.042660
1.6860,0.4868,-4.0738,-0.040475
1.7010,0.5018,-3.9452,-0.038808
1.7170,0.5178,-3.8268,-0.038092
1.7330,0.5338,-3.7036,-0.036566
1.7490,0.5493,-3.4960,-0.034678
1.7640,0.5653,-3.3312,-0.032690
1.7800,0.5803,-3.1440,-0.031426
1.7950,0.5953,-2.9343,-0.028606
1.8100,0.6103,-2.7700,-0.026913
1.8260,0.6263,-2.5455,-0.024654
1.8420,0.6424,-2.3409,-0.022538
1.8580,0.6604,-2.0677,-0.020601
1.8740,0.6744,-1.8688,-0.018267
1.8890,0.6904,-1.6432,-0.016070
1.9050,0.7053,-1.4402,-0.013559
1.9200,0.7204,-1.2083,-0.011577
1.9360,0.7364,-0.9724,-0.009297
1.9520,0.7519,-0.7440,-0.006591
1.9680,0.7679,-0.4908,-0.004493
1.9830,0.7829,-0.2104,-0.001130
1.9990,0.7989,0.0119,0.000794
2.0140,0.8149,0.2630,0.002852
2.0300,0.8299,0.5070,0.005588
2.0450,0.8473,0.8035,0.008221
2.0610,0.8613,0.9777,0.010669
2.0770,0.8773,1.2027,0.012942
2.0920,0.8923,1.4508,0.015241
2.1080,0.9083,1.7158,0.017435
2.1230,0.9233,1.9715,0.020087
2.1390,0.9393,2.1779,0.021780
2.1540,0.9548,2.3678,0.024004
2.1700,0.9738,2.5754,0.025786
2.1860,0.9868,2.7615,0.027883
2.2020,1.0038,3.0573,0.031281
2.2170,1.0178,3.1614,0.031845
2.2320,1.0338,3.3652,0.033878
2.2480,1.0483,3.6050,0.036797
2.2630,1.0633,3.7354,0.037957
2.2790,1.0794,3.8873,0.039141
2.2950,1.0954,4.0594,0.041268
2.3100,1.1104,4.1540,0.041557
2.3260,1.1445,4.3499,0.044066
2.3410,1.1445,4.4509,0.045048
2.3570,1.1595,4.5644,0.045926
2.3730,1.1735,4.6811,0.047449
2.3890,1.1895,4.7117,0.047233
2.4050,1.2055,4.8564,0.049189
2.4210,1.2215,4.8739,0.049293
2.4370,1.2375,4.9917,0.050150
2.4530,1.2535,4.9492,0.049824
2.4690,1.2695,5.0439,0.050461
2.4850,1.2855,5.0117,0.050948
2.5010,1.3095,5.0629,0.051372
2.5160,1.3165,5.0153,0.050815
2.5320,1.3325,5.0545,0.050835
2.5480,1.3481,4.9523,0.050251
2.5630,1.3631,4.9618,0.050433
2.5780,1.3781,4.8763,0.049256
2.5930,1.3931,4.7922,0.047925
2.6080,1.4101,4.7531,0.047608
2.6230,1.4231,4.6447,0.047131
2.6380,1.4401,4.5743,0.045781
2.6530,1.4536,4.4434,0.045428
2.6690,1.4707,4.4031,0.044576
2.6850,1.4857,4.2359,0.042684
2.7010,1.5016,4.0951,0.041787
2.7160,1.5167,3.9368,0.039499
2.7320,1.5327,3.7543,0.037885
2.7480,1.5482,3.6354,0.037211
2.7630,1.5662,3.4285,0.034389
2.7780,1.5782,3.2946,0.033353
2.7930,1.5952,3.0861,0.031221
2.8080,1.6082,2.9223,0.029799
2.8240,1.6272,2.6373,0.026916
2.8400,1.6402,2.4253,0.024405
